20130225,123,眼科
20130225,678,精神
20130226,123,耳鼻
20130226,678,皮肤
20130227,123,眼科
20130227,67,沟通
20130228,123,耳鼻
20130304,123,眼科
20130304,678,精神
20130305,123,耳鼻
20130305,678,皮肤
20130306,123,眼科
20130306,67,沟通
20130307,123,耳鼻
20130311,123,眼科
20130311,678,精神
20130312,123,耳鼻
20130312,678,皮肤
20130313,123,眼科
20130313,45,康复
20130313,67,沟通
20130314,123,耳鼻
20130318,123,眼科
20130318,678,精神
20130319,123,耳鼻
20130319,678,皮肤
20130320,123,眼科
20130320,123,沟通
20130320,45,康复
20130321,123,耳鼻
20130325,123,内科学
20130325,678,精神
20130326,123,外科学
20130326,678,皮肤
20130327,123,急救
20130327,45,康复
20130327,67,沟通
20130329,123,外科学
20130401,123,内科学
20130401,678,精神
20130402,123,外科学
20130402,678,皮肤
20130403,123,急救
20130403,45,康复
20130403,67,沟通
20130407,123,外科学
20130408,123,内科学
20130408,678,精神
20130409,123,外科学
20130409,678,皮肤
20130410,123,急救
20130410,45,康复
20130410,67,沟通
20130411,123,内科学
20130412,123,外科学
20130415,123,内科学
20130415,678,精神
20130416,123,外科学
20130416,678,皮肤
20130417,123,急救
20130417,45,康复
20130417,67,沟通
20130418,123,内科学
20130418,678,急救
20130419,123,外科学
20130422,678,精神
20130423,123,外科学
20130423,678,皮肤
20130424,123,急救
20130424,45,康复
20130424,67,沟通
20130425,123,内科学
20130425,678,急救
20130426,123,外科学
20130427,123,内科学
20130427,678,精神
20130428,123,外科学
20130428,678,皮肤
20130503,123,外科学
20130506,678,精神
20130507,123,外科学
20130507,678,皮肤
20130508,123,急救
20130508,45,康复
20130508,67,沟通
20130509,123,内科学
20130509,678,急救
20130510,123,外科学
20130513,123,内科学
20130514,123,外科学
20130515,123,急救
20130515,45,康复
20130515,67,沟通
20130516,123,内科学
20130517,123,外科学
20130520,123,内科学
20130522,345,康复
20130522,67,沟通
20130523,123,内科学
20130524,123,外科学
20130529,67,沟通
20130530,123,内科学
